time(ms)	OriginalData	FilteredData
6837.78	0.720603	1.88119
6838.79	3.25635	1.89695
6839.79	0.812649	1.89469
6840.79	2.16075	1.98273
6841.81	-0.663203	1.99208
6842.8	2.12184	2.0343
6843.78	4.69272	2.10346
6844.8	2.39401	2.04364
6845.8	2.25546	2.00613
6846.78	-0.0655817	1.95902
6847.81	2.40522	1.99465
6848.81	2.34537	2.05875
6849.82	2.60823	2.12833
6850.79	2.9118	2.1823
6851.81	-1.54288	2.09654
6852.79	3.01292	2.09816
6853.8	-2.15649	1.98387
6854.8	-2.61585	1.92215
6855.78	-2.17069	1.83418
6856.79	-2.46291	1.76901
6857.8	4.2941	1.90434
6858.81	-0.905846	1.92494
6859.81	3.08193	1.9054
6860.79	0.882214	1.84776
6861.8	1.1332	1.83085
6862.79	2.31971	1.79594
6863.81	-0.0234785	1.68847
6864.78	1.96959	1.77689
6865.8	2.97601	1.74398
6866.79	-0.919629	1.70962
6867.79	4.86491	1.75187
6868.85	2.51487	1.69595
6869.79	0.366442	1.61057
6870.79	2.66952	1.56901
6871.83	3.09041	1.53568
6872.81	-1.18201	1.51699
6873.8	-0.591545	1.39748
6874.79	-2.23703	1.24463
6875.79	3.65916	1.31508
6876.79	-1.24312	1.23433
6877.83	3.78674	1.22219
6878.84	-0.639789	1.20275
6879.78	-0.576976	1.23562
6881.01	2.23245	1.21885
6882.22	2.42579	1.23022
6882.86	-1.20209	1.23295
6883.85	2.03055	1.25027
6884.81	-2.68144	1.24638
6885.8	-1.95581	1.10946
6886.79	3.09681	1.06512
6887.82	4.8922	1.14855
6888.81	4.36643	1.17075
6889.79	3.84647	1.23143
6890.79	1.88379	1.22589
6891.78	3.41263	1.30741
6892.79	4.30615	1.35109
6893.78	3.60412	1.32932
6894.79	4.14353	1.36431
6895.79	-2.2636	1.27393
6896.79	-0.58997	1.26344
6897.8	2.38151	1.26297
6898.82	3.04575	1.27698
6899.79	3.26315	1.29007
6900.79	2.75197	1.28688
6901.79	3.14922	1.38072
6902.79	3.105	1.38256
6903.79	2.17253	1.46914
6904.79	4.62196	1.6139
6905.79	4.53929	1.7481
6906.79	-0.0858061	1.79564
6907.79	-2.779	1.65418
6908.78	0.146349	1.67522
6909.82	-1.01001	1.59338
6910.79	-1.29115	1.54991
6911.8	-2.94981	1.46825
6912.82	-1.64235	1.38901
6913.79	2.53282	1.44014
6914.79	2.0086	1.44092
6915.79	-1.73793	1.34664
6916.78	0.969548	1.38442
6917.78	-0.531634	1.27649
6918.79	4.586	1.31792
6919.79	1.50998	1.34079
6920.83	-0.89613	1.26947
6921.79	1.18492	1.23136
6922.79	-1.98424	1.21532
6923.79	-1.14525	1.20425
6924.8	0.222038	1.25343
6925.82	-1.63518	1.14754
6926.78	-0.949138	1.15342
6927.78	1.6378	1.11044
6928.8	-2.49205	1.0734
6929.79	-2.16502	1.04163
6930.79	0.0743829	0.998473
6931.79	-1.88266	0.912304
6932.79	-2.04428	0.89546
6933.79	3.30498	0.920949
6934.79	-0.115352	0.97227
6935.83	-1.87698	0.973847
6936.79	-2.59051	0.860101
6937.8	3.24618	0.82718
6938.79	-2.94659	0.68092
6939.79	-2.0259	0.563473
6940.79	2.80626	0.581922
6941.79	1.16456	0.536961
6942.79	0.115371	0.453145
6943.79	-1.0862	0.359339
6944.79	-2.12813	0.233906
6945.83	-0.490563	0.269367
6946.78	0.834705	0.29786
6947.8	0.310277	0.256435
6948.79	0.522413	0.205969
6949.79	4.47755	0.230257
6950.8	-3.20051	0.111207
6951.81	-3.12762	-0.0143294
6952.83	4.214	0.00785062
6953.8	2.95256	0.0234512
6954.79	1.59465	-0.0370951
6955.79	-2.86984	-0.185278
6956.79	-0.500397	-0.193569
6957.79	2.84072	-0.081175
6958.8	0.802748	-0.068047
6959.79	4.43337	0.0408208
6960.79	4.03944	0.147432
6961.83	0.0430681	0.20729
6962.79	0.0839064	0.241815
6963.79	1.71241	0.225407
6964.8	1.30958	0.211427
6965.83	3.32062	0.312598
6966.95	3.58207	0.364848
6968.03	1.46068	0.404694
6968.85	4.47002	0.402375
6969.83	4.49511	0.462077
6970.83	-2.89583	0.422083
6971.82	0.956455	0.417514
6972.8	0.419908	0.465597
6973.79	0.0454464	0.489411
6974.8	-2.85207	0.427929
6975.8	3.0717	0.522066
6976.79	1.3536	0.568121
6977.81	2.36164	0.582598
6978.83	2.98999	0.692239
6979.79	3.75309	0.810601
6980.8	3.95047	0.888123
6981.79	-0.153814	0.9227
6982.8	-1.90479	0.92549
6983.8	2.57707	0.910932
6984.8	3.56344	0.984508
6985.8	4.19357	1.10592
6986.8	-1.87818	1.12017
6987.79	4.35583	1.14236
6988.8	2.4011	1.24931
6989.8	2.84485	1.34673
6990.79	-1.45423	1.26152
6991.86	1.25883	1.2634
6992.79	4.16061	1.34431
